Country,Coffee type,Year Start,Year End,Total Production
Nigeria,Robusta,820454400,851990400,2760000.0
Panama,Arabica,820454400,851990400,12660000.0
Sierra Leone,Robusta,820454400,851990400,2460000.0
Sri Lanka,Robusta/Arabica,820454400,851990400,2220000.0
Thailand,Robusta/Arabica,820454400,851990400,84240000.0
Togo,Robusta,820454400,851990400,17460000.0
Trinidad & Tobago,Robusta,820454400,851990400,1080000.0
Uganda,Robusta/Arabica,820454400,851990400,205140000.0
Venezuela,Arabica,820454400,851990400,72360000.0
Viet Nam,Robusta/Arabica,820454400,851990400,345120000.0
Yemen,Arabica,820454400,851990400,0.0
Angola,Robusta/Arabica,852076800,883526400,3840000.0
Bolivia,Arabica,852076800,883526400,8460000.0
Brazil,Arabica/Robusta,852076800,883526400,1568880000.0
Burundi,Arabica/Robusta,852076800,883526400,15000000.0
Ecuador,Arabica/Robusta,852076800,883526400,71460000.0
Indonesia,Robusta/Arabica,852076800,883526400,457260000.0
Madagascar,Robusta,852076800,883526400,37440000.0
Malawi,Arabica,852076800,883526400,3660000.0
Papua New Guinea,Arabica/Robusta,852076800,883526400,64440000.0
Paraguay,Arabica,852076800,883526400,2940000.0
Peru,Arabica,852076800,883526400,115800000.0
Rwanda,Arabica,852076800,883526400,11580000.0
Timor-Leste,Arabica,852076800,883526400,0.0
Zimbabwe,Arabica,852076800,883526400,7800000.0
Congo,Robusta,852076800,883526400,180000.0
Cuba,Arabica,852076800,883526400,18000000.0
Dominican Republic,Arabica/Robusta,852076800,883526400,56460000.0
Haiti,Arabica,852076800,883526400,25920000.0
Philippines,Robusta/Arabica,852076800,883526400,56100000.0
Tanzania,Arabica/Robusta,852076800,883526400,37440000.0
Zambia,Arabica,852076800,883526400,2280000.0
Cameroon,Robusta/Arabica,852076800,883526400,53340000.0
Central African Republic,Robusta,852076800,883526400,6840000.0
Colombia,Arabica,852076800,883526400,727320000.0
Costa Rica,Arabica,852076800,883526400,157020000.0
Côte d'Ivoire,Robusta,852076800,883526400,249840000.0
Democratic Republic of Congo,Robusta/Arabica,852076800,883526400,48660000.0
El Salvador,Arabica,852076800,883526400,130500000.0
Equatorial Guinea,Robusta,852076800,883526400,120000.0
Ethiopia,Arabica,852076800,883526400,183420000.0
Gabon,Robusta,852076800,883526400,180000.0
Ghana,Robusta,852076800,883526400,1620000.0
Guatemala,Arabica/Robusta,852076800,883526400,253140000.0
Guinea,Robusta,852076800,883526400,10320000.0
Guyana,Robusta,852076800,883526400,0.0
Honduras,Arabica,852076800,883526400,153840000.0
India,Robusta/Arabica,852076800,883526400,246540000.0
Jamaica,Arabica,852076800,883526400,2820000.0
Kenya,Arabica,852076800,883526400,52920000.0
Lao People's Democratic Republic,Robusta,852076800,883526400,0.0
Liberia,Robusta,852076800,883526400,300000.0
Mexico,Arabica/Robusta,852076800,883526400,288120000.0
Nepal,Arabica,852076800,883526400,0.0
Nicaragua,Arabica,852076800,883526400,65040000.0
Nigeria,Robusta,852076800,883526400,2700000.0
Panama,Arabica,852076800,883526400,13020000.0
Sierra Leone,Robusta,852076800,883526400,3000000.0
Sri Lanka,Robusta/Arabica,852076800,883526400,3480000.0
Thailand,Robusta/Arabica,852076800,883526400,77580000.0
Togo,Robusta,852076800,883526400,13260000.0
Trinidad & Tobago,Robusta,852076800,883526400,1140000.0
Uganda,Robusta/Arabica,852076800,883526400,206400000.0
Venezuela,Arabica,852076800,883526400,57060000.0
Viet Nam,Robusta/Arabica,852076800,883526400,418740000.0
Yemen,Arabica,852076800,883526400,0.0
